Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Mali,3/11/2015,8,6
Senegal,3/11/2015,1,0
Nigeria,3/11/2015,20,8
Liberia,3/11/2015,9343,4162
Spain,3/11/2015,1,0
Sierra Leone,3/11/2015,11619,3629
Nigeria,3/12/2015,20,8
Spain,3/12/2015,1,0
United Kingdom,3/12/2015,1,0
United States of America,3/12/2015,4,1
Sierra Leone,3/12/2015,11677,3655
Liberia,3/12/2015,9343,4162
Guinea,3/12/2015,3330,2187
Senegal,3/12/2015,1,0
Mali,3/12/2015,8,6
Spain,3/13/2015,1,0
Liberia,3/13/2015,9482,4241
Sierra Leone,3/13/2015,11696,3663
United States of America,3/13/2015,4,1
Guinea,3/13/2015,3331,2192
United Kingdom,3/13/2015,1,0
Nigeria,3/13/2015,20,8
Senegal,3/13/2015,1,0
Mali,3/13/2015,8,6
Mali,3/16/2015,8,6
Guinea,3/16/2015,3373,2216
Sierra Leone,3/16/2015,11742,3687
Senegal,3/16/2015,1,0
Nigeria,3/16/2015,20,8
Spain,3/16/2015,1,0
United States of America,3/16/2015,4,1
Liberia,3/16/2015,9482,4241
United Kingdom,3/16/2015,1,0
Guinea,3/17/2015,3389,2224
Mali,3/17/2015,8,6
Nigeria,3/17/2015,20,8
Senegal,3/17/2015,1,0
Sierra Leone,3/17/2015,11751,3691
Liberia,3/17/2015,9526,4264
Spain,3/17/2015,1,0
United Kingdom,3/17/2015,1,0
United States of America,3/17/2015,4,1
Liberia,3/18/2015,9526,4264
Sierra Leone,3/18/2015,11751,3691
Spain,3/18/2015,1,0
Guinea,3/18/2015,3389,2224
United Kingdom,3/18/2015,1,0
Nigeria,3/18/2015,20,8
Senegal,3/18/2015,1,0
Mali,3/18/2015,8,6
United States of America,3/18/2015,4,1
United Kingdom,3/20/2015,1,0
Guinea,3/20/2015,3404,2241
Sierra Leone,3/20/2015,11794,3712
United States of America,3/20/2015,4,1
Nigeria,3/20/2015,20,8
Senegal,3/20/2015,1,0
Spain,3/20/2015,1,0
Mali,3/20/2015,8,6
Liberia,3/20/2015,9555,4283
United States of America,3/23/2015,4,1
Senegal,3/23/2015,1,0
Liberia,3/23/2015,9593,4296
Mali,3/23/2015,8,6
Sierra Leone,3/23/2015,11829,3742
United Kingdom,3/23/2015,1,0
Guinea,3/23/2015,3420,2261
Spain,3/23/2015,1,0
Nigeria,3/23/2015,20,8
Senegal,3/24/2015,1,0
Sierra Leone,3/24/2015,11841,3747
Guinea,3/24/2015,3429,2263
Spain,3/24/2015,1,0
Nigeria,3/24/2015,20,8
Mali,3/24/2015,8,6
United Kingdom,3/24/2015,1,0
United States of America,3/24/2015,4,1
Liberia,3/24/2015,9602,4301
Senegal,3/25/2015,1,0
Liberia,3/25/2015,9602,4301
Spain,3/25/2015,1,0
Mali,3/25/2015,8,6
Sierra Leone,3/25/2015,11841,3747
United Kingdom,3/25/2015,1,0
Guinea,3/25/2015,3429,2263
Nigeria,3/25/2015,20,8
United States of America,3/25/2015,4,1
Spain,3/26/2015,1,0
Guinea,3/26/2015,3459,2273
Senegal,3/26/2015,1,0
Sierra Leone,3/26/2015,11866,3764
Liberia,3/26/2015,9602,4301
Mali,3/26/2015,8,6
Nigeria,3/26/2015,20,8
United Kingdom,3/26/2015,1,0
United States of America,3/26/2015,4,1
Liberia,3/27/2015,9602,4301
